id,name,uri,artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
42N1d6aqK7MfvsdHll5R83,Big Brown Eyes,spotify:track:42N1d6aqK7MfvsdHll5R83,"Benny Sings, ",0.0205,0.916,0.475,0.303,0.119,-8.481,0.0495,130.86,0.695
1szpo9PP7E2744kTFNK3HU,Can't You Tell,spotify:track:1szpo9PP7E2744kTFNK3HU,"Vetiver, ",0.0135,0.57,0.786,0.746,0.0851,-7.997,0.0323,90.266,0.695
00NLANlysX9yJpOD3mfshw,Outside,spotify:track:00NLANlysX9yJpOD3mfshw,"SoulChef, ",0.0835,0.782,0.565,0.854,0.142,-10.321,0.148,93.009,0.696
7EN9HHkjySM5Eratx2zaMo,Wood,spotify:track:7EN9HHkjySM5Eratx2zaMo,"Rostam, ",0.731,0.506,0.602,0.171,0.0745,-8.778,0.163,110.602,0.696
4d2hD63oUGU3s7L66JD0BE,Dance Again,spotify:track:4d2hD63oUGU3s7L66JD0BE,"Jennifer Lopez, Pitbull, ",0.0159,0.792,0.856,0.00000288,0.0981,-5.236,0.067,127.988,0.696
1CUVN2kn7mW5FjkqXTR2W1,Perfect Strangers,spotify:track:1CUVN2kn7mW5FjkqXTR2W1,"Jonas Blue, JP Cooper, ",0.372,0.742,0.819,0,0.277,-5.307,0.0487,117.986,0.697
3kguMbJma0qhOLniGsFlKq,Better Man,spotify:track:3kguMbJma0qhOLniGsFlKq,"Leon Bridges, ",0.219,0.395,0.746,0,0.123,-4.938,0.0447,188.267,0.699
4it9okpXUNL0haiYRxfU0q,Miss Right,spotify:track:4it9okpXUNL0haiYRxfU0q,"Anderson .Paak, ",0.00312,0.824,0.526,0.258,0.161,-7.334,0.222,96.477,0.699
69cvWeyze4FENegGTwIbKa,Don't Stop,spotify:track:69cvWeyze4FENegGTwIbKa,"Dave Winnel, ",0.0223,0.685,0.97,0.0301,0.0901,-3.849,0.084,125.989,0.705
6ikh8e4YxgOlb11LWUaBp4,The Keys,spotify:track:6ikh8e4YxgOlb11LWUaBp4,"Matt Duncan, ",0.511,0.782,0.478,0.0117,0.131,-11.132,0.0671,94.997,0.707
14VwBAL1qSlG4ovOSYUQF4,Spend The Night,spotify:track:14VwBAL1qSlG4ovOSYUQF4,"Rahsaan Patterson, ",0.0441,0.685,0.549,0.0000539,0.0676,-9.175,0.0229,90.043,0.708
016MhOWmy8BMUm7kUBEqwh,Turbilaho,spotify:track:016MhOWmy8BMUm7kUBEqwh,"Paula Sergio, ",0.191,0.697,0.332,0,0.275,-14.877,0.0448,93.404,0.708
48Q8ER4XOaE4r00bjRxT9r,Begin The Beguine - Alternate Take,spotify:track:48Q8ER4XOaE4r00bjRxT9r,"Art Pepper, ",0.83,0.51,0.398,0.14,0.149,-12.411,0.0718,181.695,0.709
6PZDPg3dZgJkNL6nVMUB4b,Little Bit,spotify:track:6PZDPg3dZgJkNL6nVMUB4b,"Lykke Li, ",0.158,0.819,0.736,0.00161,0.109,-6.504,0.0416,120.318,0.709
3c6afiysmB7OnxQzzSqRfD,So Into You,spotify:track:3c6afiysmB7OnxQzzSqRfD,"Tamia, ",0.0665,0.656,0.479,0.00272,0.168,-7.055,0.0348,184.374,0.71
7Dq1sWM1JfMrphbuwfeGVl,How Long,spotify:track:7Dq1sWM1JfMrphbuwfeGVl,"Ace, ",0.587,0.717,0.406,0.103,0.0869,-13.954,0.0305,123.213,0.71
1mz5rxbP10zYFRh1MpysJJ,Broccoli,spotify:track:1mz5rxbP10zYFRh1MpysJJ,"D.R.A.M., Lil Yachty, ",0.247,0.903,0.525,0,0.0584,-7.687,0.216,145.973,0.71
